circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle
Bahrain Grand Prix,leclerc,ferrari,1,2022,0.0,0.18936005909073106,0.0,0.0,25.635909090909095,0.0,81,0,26.0,26.0,0,26.0,0,26.0,1
Bahrain Grand Prix,sainz,ferrari,1,2022,0.0,0.17403639537878413,0.0,0.0,23.56136363636364,0.0,141,0,18.0,18.0,0,18.0,0,18.0,2
Bahrain Grand Prix,hamilton,mercedes,1,2022,0.0,0.9999999999926136,0.0,0.0,135.38181818181837,0.0,236,0,15.0,15.0,0,15.0,0,15.0,3
Bahrain Grand Prix,russell,mercedes,1,2022,0.0,0.006946682782650801,0.0,0.0,0.9404545454545454,0.0,60,0,12.0,12.0,0,12.0,0,12.0,4
Bahrain Grand Prix,kevin_magnussen,haas,1,2022,0.0,0.04178417942488604,0.0,0.0,5.656818181818182,0.0,120,0,10.0,10.0,0,10.0,0,10.0,5
Bahrain Grand Prix,bottas,alfa,1,2022,0.0,0.5121306741836997,0.0,0.0,69.33318181818183,0.0,179,0,8.0,8.0,0,8.0,0,8.0,6
Bahrain Grand Prix,ocon,alpine,1,2022,0.0,0.0873656997038939,0.0,0.0,11.827727272727273,0.0,89,0,6.0,6.0,0,6.0,0,6.0,7
Bahrain Grand Prix,tsunoda,alphatauri,1,2022,0.0,0.011818426000449888,0.0,0.0,1.6,0.0,22,0,4.0,4.0,0,4.0,0,4.0,8
Bahrain Grand Prix,alonso,alpine,1,2022,0.0,0.24880136986117568,0.0,0.0,33.68318181818183,0.0,196,0,2.0,2.0,0,2.0,0,2.0,9
Bahrain Grand Prix,zhou,alfa,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,1.0,0,1.0,0,1.0,10
Bahrain Grand Prix,mick_schumacher,haas,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0.0,0.0,0,0.0,0,0.0,11
Bahrain Grand Prix,stroll,aston_martin,1,2022,0.0,0.058068090249369535,0.0,0.0,7.8613636363636346,0.0,100,0,0.0,0.0,0,0.0,0,0.0,12
Bahrain Grand Prix,albon,williams,1,2022,0.0,0.06596494762239741,0.0,0.0,8.930454545454543,0.0,38,0,0.0,0.0,0,0.0,0,0.0,13
Bahrain Grand Prix,ricciardo,mclaren,1,2022,0.0,0.34594077356714625,0.0,0.0,46.83409090909093,0.0,210,0,0.0,0.0,0,0.0,0,0.0,14
Bahrain Grand Prix,norris,mclaren,1,2022,0.0,0.10843070104674124,0.0,0.0,14.679545454545455,0.0,60,0,0.0,0.0,0,0.0,0,0.0,15
Bahrain Grand Prix,latifi,williams,1,2022,0.0,0.0025852806875984132,0.0,0.0,0.35000000000000003,0.0,39,0,0.0,0.0,0,0.0,0,0.0,16
Bahrain Grand Prix,hulkenberg,aston_martin,1,2022,0.0,0.12050094010117805,0.0,0.0,16.313636363636373,0.0,182,0,0.0,0.0,0,0.0,0,0.0,17
Bahrain Grand Prix,perez,red_bull,1,2022,0.0,0.2527229384885977,0.0,0.0,34.21409090909093,0.0,215,0,0.0,0.0,0,0.0,0,0.0,18
Bahrain Grand Prix,max_verstappen,red_bull,1,2022,0.0,0.4903102336788917,0.0,0.0,66.3790909090909,0.0,141,0,0.0,0.0,0,0.0,0,0.0,19
Bahrain Grand Prix,gasly,alphatauri,1,2022,0.0,0.10584877786652933,0.0,0.0,14.330000000000002,0.0,86,0,0.0,0.0,0,0.0,0,0.0,20
Saudi Arabian Grand Prix,max_verstappen,red_bull,2,2022,0.0,0.44121800441510356,0.0,0.0,66.3790909090909,0.0,142,0,25.0,12.5,0,12.5,0,25.0,1
Saudi Arabian Grand Prix,leclerc,ferrari,2,2022,0.9999999999615384,0.3453284888804507,0.0,26.0,51.9529822616408,0.0,82,0,26.0,22.5,0,22.5,0,19.0,2
Saudi Arabian Grand Prix,sainz,ferrari,2,2022,0.692307692281065,0.2770985669630634,0.0,18.0,41.688124199743925,0.0,142,0,18.0,16.5,0,16.5,0,15.0,3
Saudi Arabian Grand Prix,perez,red_bull,2,2022,0.0,0.22741909699336646,0.0,0.0,34.21409090909093,0.0,216,0,12.0,6.0,0,6.0,0,12.0,4
Saudi Arabian Grand Prix,russell,mercedes,2,2022,0.46153846152071004,0.08732205331319288,0.0,12.0,13.137175856929957,0.0,61,0,12.0,11.0,0,11.0,0,10.0,5
Saudi Arabian Grand Prix,ocon,alpine,2,2022,0.23076923076035502,0.1189430086496683,0.0,6.0,17.89439393939394,0.0,90,0,8.0,7.0,0,7.0,0,8.0,6
Saudi Arabian Grand Prix,norris,mclaren,2,2022,0.0,0.0975740954338426,0.0,0.0,14.679545454545455,0.0,61,0,6.0,3.0,0,3.0,0,6.0,7
Saudi Arabian Grand Prix,gasly,alphatauri,2,2022,0.0,0.09525068687559443,0.0,0.0,14.330000000000002,0.0,87,0,4.0,2.0,0,2.0,0,4.0,8
Saudi Arabian Grand Prix,kevin_magnussen,haas,2,2022,0.3846153846005917,0.10461930521266584,0.0,10.0,15.739462809917356,0.0,121,0,10.0,6.0,0,6.0,0,2.0,9
Saudi Arabian Grand Prix,hamilton,mercedes,2,2022,0.5769230769008876,0.9999999999933531,0.0,15.0,150.44510932105888,0.0,237,0,15.0,8.0,0,8.0,0,1.0,10
Saudi Arabian Grand Prix,zhou,alfa,2,2022,0.038461538460059175,0.013293885118715201,0.0,1.0,2.0,0.0,1,1,1.0,0.5,0,0.5,0,0.0,11
Saudi Arabian Grand Prix,hulkenberg,aston_martin,2,2022,0.0,0.10843580384333838,0.0,0.0,16.313636363636373,0.0,183,0,0.0,0.0,0,0.0,0,0.0,12
Saudi Arabian Grand Prix,stroll,aston_martin,2,2022,0.0,0.05225403252913167,0.0,0.0,7.8613636363636346,0.0,101,0,0.0,0.0,0,0.0,0,0.0,13
Saudi Arabian Grand Prix,albon,williams,2,2022,0.0,0.059360218392590335,0.0,0.0,8.930454545454543,0.0,39,0,0.0,0.0,0,0.0,0,0.0,14
Saudi Arabian Grand Prix,bottas,alfa,2,2022,0.3076923076804734,0.5143246371471171,0.0,8.0,77.37762626262628,0.0,180,0,8.0,4.0,0,4.0,0,0.0,15
Saudi Arabian Grand Prix,alonso,alpine,2,2022,0.07692307692011835,0.23725154153091693,0.0,2.0,35.69333410244579,0.0,197,0,2.0,1.0,0,1.0,0,0.0,16
Saudi Arabian Grand Prix,ricciardo,mclaren,2,2022,0.0,0.31130351209245943,0.0,0.0,46.83409090909093,0.0,211,0,0.0,0.0,0,0.0,0,0.0,17
Saudi Arabian Grand Prix,latifi,williams,2,2022,0.0,0.0023264298957751603,0.0,0.0,0.35000000000000003,0.0,40,0,0.0,0.0,0,0.0,0,0.0,18
Saudi Arabian Grand Prix,tsunoda,alphatauri,2,2022,0.1538461538402367,0.03837886834272563,0.0,4.0,5.773913043478261,0.0,23,0,4.0,2.0,0,2.0,0,0.0,19
Saudi Arabian Grand Prix,mick_schumacher,haas,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.0,0.0,0,0.0,0,0.0,20
Australian Grand Prix,leclerc,ferrari,3,2022,0.9999999999802762,0.47000476564074795,0.0,50.7,71.1818979242914,0.0,83,0,26.0,23.666666666666668,0,23.666666666666668,0,26.0,1
Australian Grand Prix,perez,red_bull,3,2022,0.30769230768623884,0.3055107358489537,0.0,15.600000000000001,46.26939044826143,0.0,217,0,18.0,10.0,0,10.0,0,18.0,2
Australian Grand Prix,russell,mercedes,3,2022,0.49309664693307503,0.15383672613136187,0.0,25.0,23.2984661795106,0.0,62,0,15.0,12.333333333333334,0,12.333333333333334,0,15.0,3
Australian Grand Prix,hamilton,mercedes,3,2022,0.32149901380036494,0.9999999999933972,0.0,16.3,151.44931100173116,0.0,238,0,15.0,9.333333333333334,0,9.333333333333334,0,12.0,4
Australian Grand Prix,norris,mclaren,3,2022,0.15384615384311942,0.13718332233098884,0.0,7.800000000000001,20.776319648093843,0.0,62,0,10.0,5.333333333333333,0,5.333333333333333,0,10.0,5
Australian Grand Prix,ricciardo,mclaren,3,2022,0.0,0.3092393791626187,0.0,0.0,46.83409090909093,0.0,212,0,8.0,2.6666666666666665,0,2.6666666666666665,0,8.0,6
Australian Grand Prix,ocon,alpine,3,2022,0.3234714003880972,0.17155776975992632,0.0,16.4,25.982306027306027,0.0,91,0,8.0,6.666666666666667,0,6.666666666666667,0,6.0,7
Australian Grand Prix,bottas,alfa,3,2022,0.15779092701858402,0.5109143498264637,0.0,8.0,77.37762626262628,0.0,181,0,8.0,4.0,0,4.0,0,4.0,8
Australian Grand Prix,gasly,alphatauri,3,2022,0.10256410256207961,0.12133072394844488,0.0,5.2,18.37545454545455,0.0,88,0,4.0,2.0,0,2.0,0,2.0,9
Australian Grand Prix,albon,williams,3,2022,0.0,0.05896662379199266,0.0,0.0,8.930454545454543,0.0,40,0,1.0,0.3333333333333333,0,0.3333333333333333,0,1.0,10
Australian Grand Prix,zhou,alfa,3,2022,0.019723865877323003,0.013205738519100514,0.0,1.0,2.0,0.0,2,1,1.0,0.3333333333333333,0,0.3333333333333333,0,0.0,11
Australian Grand Prix,stroll,aston_martin,3,2022,0.0,0.05190755629269166,0.0,0.0,7.8613636363636346,0.0,102,0,0.0,0.0,0,0.0,0,0.0,12
Australian Grand Prix,mick_schumacher,haas,3,2022,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0,0.0,0,0.0,13
Australian Grand Prix,kevin_magnussen,haas,3,2022,0.24852071005426982,0.1172395974268916,0.0,12.6,17.755856252540305,0.0,122,0,10.0,4.0,0,4.0,0,0.0,14
Australian Grand Prix,tsunoda,alphatauri,3,2022,0.07889546350929201,0.03812439294209888,0.0,4.0,5.773913043478261,0.0,24,0,4.0,1.3333333333333333,0,1.3333333333333333,0,0.0,15
Australian Grand Prix,latifi,williams,3,2022,0.0,0.00231100424084259,0.0,0.0,0.35000000000000003,0.0,41,0,0.0,0.0,0,0.0,0,0.0,16
Australian Grand Prix,alonso,alpine,3,2022,0.039447731754646005,0.23567841851589616,0.0,2.0,35.69333410244579,0.0,198,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,17
Australian Grand Prix,max_verstappen,red_bull,3,2022,0.6410256410129975,0.6045185381019333,0.0,32.5,91.55391608391608,0.0,143,0,25.0,8.333333333333334,0,8.333333333333334,0,0.0,18
Australian Grand Prix,vettel,aston_martin,3,2022,0.0,0.5684680262925617,0.0,0.0,86.09409090909092,0.0,237,0,0.0,0.0,0,0.0,0,0.0,19
Australian Grand Prix,sainz,ferrari,3,2022,0.7396449703996125,0.3749968813236454,0.0,37.5,56.79301930463903,0.0,143,0,18.0,11.0,0,11.0,0,0.0,20
Emilia Romagna Grand Prix,max_verstappen,red_bull,4,2022,0.3434065934029648,0.5599644327248319,0.0,32.5,91.55391608391608,0.0,144,0,26.0,17.0,0,17.0,0,26.0,1
Emilia Romagna Grand Prix,perez,red_bull,4,2022,0.48626373625859814,0.39359111986280765,0.0,46.02,64.35195925560089,0.0,218,0,18.0,16.0,0,16.0,0,18.0,2
Emilia Romagna Grand Prix,norris,mclaren,4,2022,0.26098901098625327,0.1892057528212689,0.0,24.700000000000003,30.935049806824,0.0,63,0,15.0,10.333333333333334,0,10.333333333333334,0,15.0,3
Emilia Romagna Grand Prix,russell,mercedes,4,2022,0.5320160608565931,0.23569831500813593,0.0,50.35,38.53656141760584,0.0,63,0,15.0,12.333333333333334,0,12.333333333333334,0,12.0,4
Emilia Romagna Grand Prix,bottas,alfa,4,2022,0.1559594251885465,0.4978583679094176,0.0,14.760000000000002,81.3996042846043,0.0,182,0,10.0,4.666666666666667,0,4.666666666666667,0,10.0,5
Emilia Romagna Grand Prix,leclerc,ferrari,4,2022,0.9999999999894336,0.5962795585573395,0.0,94.64000000000001,97.49142173381522,0.0,84,0,26.0,17.666666666666668,0,17.666666666666668,0,8.0,6
Emilia Romagna Grand Prix,tsunoda,alphatauri,4,2022,0.042265426880364894,0.03531455649620004,0.0,4.0,5.773913043478261,0.0,25,0,6.0,2.0,0,2.0,0,6.0,7
Emilia Romagna Grand Prix,vettel,aston_martin,4,2022,0.0,0.5265709085855097,0.0,0.0,86.09409090909092,0.0,238,0,4.0,2.0,0,2.0,0,4.0,8
Emilia Romagna Grand Prix,kevin_magnussen,haas,4,2022,0.1331360946731494,0.10859882787410428,0.0,12.6,17.755856252540305,0.0,123,0,2.0,1.3333333333333333,0,1.3333333333333333,0,2.0,9
